"","customer","supplier","qty"
"278","BANG & BONSOMER GROUP OY","YARA",32
"279","BANG & BONSOMER GROUP OY","YARA",309
"280","BANG & BONSOMER GROUP OY","YARA",410
"281","KIILTOCLEAN OY","YARA",102
"282","S-TAROIL OY","OTHER EASTERN EUROPEAN",4
"283","PREFERE RESINS FINLAND OY","YARA",30
"284","PREFERE RESINS FINLAND OY","OTHER EASTERN EUROPEAN",15000
"285","PREFERE RESINS FINLAND OY","YARA",50
"286","Ecolab Europe","YARA",163
"287","SOLVAY CHEMICALS FINLAND OY","YARA",563
"288","METS_ BOARD OYJ","YARA",146
"289","HELSINGIN KAUPUNKI STARA","YARA",1
"290","HELSINGIN KAUPUNKI STARA","OTHER EASTERN EUROPEAN",1
"291","TAMINCO FINLAND OY","ACRON",100
"292","TAMINCO FINLAND OY","ANVILL",2410
"293","Mets„liitto Osuuskunta Mets„ Wood","YARA",1
"294","Mets„liitto Osuuskunta Mets„ Wood","OTHER EASTERN EUROPEAN",1
"295","Kemira Chemicals Oy","YARA",1
"296","Ky Bo Juslin Kb","OTHER EASTERN EUROPEAN",2
"297","Yara Suomi Oy /Movere Logistiikkake","YARA",165
"298","Yara Suomi Oy GFD Valkeakoski","YARA",2856
"299","GFD Plant in Uusikaupunki","YARA",79
"300","YARA SUOMI OY Industrial","YARA",464
"301","YARA SUOMI OY Industrial","YARA",20
"302","Yara Suomi Oy Siilinj„rvi","YARA",223
"303","Hexion","OTHER EASTERN EUROPEAN",15000
"304","Hexion","YARA",62
"305","Hexion","YARA",8975
"306","FORCIT OY AB","OTHER EASTERN EUROPEAN",800
"307","ACIBIS DISTRIBUTION","YARA",71
"308","AG FRANCE SAS","YARA",428
"309","AG FRANCE SAS","BOREALIS",72
"310","BRENNTAG SA","YARA",100
"311","BRENNTAG SA","YARA",174
"312","BRENNTAG SA","BOREALIS",240
"313","BRENNTAG SA","YARA",123
"314","BRENNTAG SA","YARA",13
"315","BRENNTAG SA","YARA",623
"316","BRENNTAG SA","YARA",725
"317","BRENNTAG SA","YARA",240
"318","BRENNTAG SA","BOREALIS",280
"319","BRENNTAG SA","YARA",50
"320","BRENNTAG SA","BOREALIS",200
"321","BRENNTAG SA","YARA",79
"322","BRENNTAG SA","YARA",667
"323","BRENNTAG SA","YARA",225
"324","BRENNTAG SA","BOREALIS",100
"325","BRENNTAG SA","YARA",425
"326","BRENNTAG SA","YARA",325
"327","BRENNTAG SA","BOREALIS",400
"328","BRENNTAG SA","YARA",166
"329","BRENNTAG SA","YARA",181
"330","BRENNTAG SA","BOREALIS",119
"331","BRENNTAG SA","YARA",24
"332","BRENNTAG SA","YARA",150
"333","BRENNTAG SA","BOREALIS",300
"334","BRENNTAG SA","YARA",849
"335","BRENNTAG SA","BOREALIS",276
"336","BRENNTAG SA","YARA",25
"337","BRENNTAG SA","BOREALIS",175
"338","BRENNTAG SA","YARA",25
"339","BRENNTAG SA","YARA",30
"340","BRENNTAG SA","BOREALIS",50
"341","BRENNTAG SA","YARA",425
"342","BRENNTAG SA","BOREALIS",430
"343","BRENNTAG SA","YARA",758
"344","BRENNTAG SA","BOREALIS",130
"345","BRENNTAG SA","YARA",75
"346","BRENNTAG SA","YARA",447
"347","BRENNTAG SA","BOREALIS",403
"348","BRENNTAG SA","YARA",1675
"349","BRENNTAG SA","BOREALIS",450
"350","BRENNTAG SA","YARA",23
"351","BRENNTAG SA","BOREALIS",310
"352","BRENNTAG SA","YARA",149
"353","BRENNTAG SA","BOREALIS",900
"354","BRENNTAG SA","YARA",1100
"355","BRENNTAG SA","YARA",367
"356","AF CHEMICALS","YARA",256
"357","LA GLORIETTE DISTRIBUTION","YARA",24
"358","AJINOMOTO EUROLYSINE SAS","BOREALIS",100
"359","AJINOMOTO EUROLYSINE SAS","YARA",18950
"360","AJINOMOTO EUROLYSINE SAS","BOREALIS",7750
"361","Axens","YARA",537
"362","Axens","BOREALIS",610
"363","Axens","YARA",69
"364","AJINOMOTO FOODS EUROPE SAS","YARA",79
"365","AJINOMOTO FOODS EUROPE SAS","YARA",20470
"366","BASF Agri","YARA",21
"367","BASF Agri","ACHEMA",149
"368","BASF Agri","BRENNTAG",241
"369","AREVA NC","YARA",1931
"370","AREVA NC","YARA",100
"371","AREVA NC","ACHEMA",580
"372","Fibre Excellence","BOREALIS",850
"373","BERNARDY","YARA",24
"374","BERNARDY","BOREALIS",76
"375","BERNARDY","YARA",322
"376","BERNARDY","BOREALIS",400
"377","Bio Springer","YARA",2945
"378","Bio Springer","BOREALIS",10720
"379","BOREALIS L.A.T GMBH","YARA",50
"380","BOREALIS L.A.T GMBH","YARA",891
"381","Brenntag SA","YARA",119
"382","Brenntag SA","YARA",1650
"383","Gaz‚chim","YARA",1430
"384","QUARON","YARA",300
"385","QUARON","YARA",75
"386","QUARON","YARA",75
"387","QUARON","YARA",1327
"388","QUARON","BOREALIS",363
"389","QUARON","YARA",250
"390","QUARON","YARA",584
"391","QUARON","YARA",7500
"392","QUARON","BOREALIS",1000
"393","EGGER","BRENNTAG",1300
"394","EGGER PANNEAUX ET DECORS","YARA",1359
"395","Seripanneaux","YARA",386
"396","Seripanneaux","YARA",165
"397","TEMBEC","YARA",10620
"398","CALDIC","BOREALIS",100
"399","SWISS KRONO SAS","YARA",1565
"400","SWISS KRONO SAS","YARA",859
"401","COMPAGNIE FRANCAISE DE PANNEAU","YARA",185
"402","COMPAGNIE FRANCAISE DE PANNEAU","YARA",48
"403","COMPAGNIE FRANCAISE DE PANNEAU","BRENNTAG",1352
"404","DUPUY","YARA",671
"405","CALDIC FRANCE","YARA",25
"406","CALDIC FRANCE","BOREALIS",100
"407","CALDIC FRANCE","YARA",47
"408","CARGILL FRANCE","YARA",255
"409","CRISTAL UNION","YARA",25
"410","CRISTAL UNION","ACHEMA",475
"411","CRISTAL UNION","BRENNTAG",2620
"412","CRISTAL UNION","BOREALIS",300
"413","DANISCO FRANCE","YARA",481
"414","DANISCO FRANCE","BOREALIS",19
"415","DANISCO FRANCE","YARA",69
"416","DANISCO FRANCE","BOREALIS",40
"417","DANISCO FRANCE","YARA",74
"418","Etablissements Beauseigneur","YARA",132
"419","Etablissements Beauseigneur","BOREALIS",1150
"420","Etablissements Beauseigneur","YARA",657
"421","Etablissements Beauseigneur","SKW",1143
"422","Etablissements Beauseigneur","YARA",474
"423","Etablissements Beauseigneur","BASF",776
"424","Fareva Romainville","YARA",245
"425","GACHES CHIMIE","YARA",160
"426","GACHES CHIMIE","YARA",497
"427","GACHES CHIMIE","YARA",2
"428","GACHES CHIMIE","SKW",28
"429","GACHES CHIMIE","YARA",1060
"430","GACHES CHIMIE","YARA",605
"431","GACHES CHIMIE","YARA",321
"432","GACHES CHIMIE","YARA",24
"433","GACHES CHIMIE","YARA",120
"434","GACHES CHIMIE","YARA",1880
"435","Univar","YARA",22
"436","Univar","YARA",22
"437","Univar","YARA",122
"438","Univar","YARA",200
"439","Univar","YARA",81
"440","Univar","BOREALIS",140
"441","Univar","YARA",81
"442","Univar","BOREALIS",100
"443","Univar","YARA",41
"444","Univar","YARA",106
"445","Univar","BRENNTAG",250
"446","Univar","BRENNTAG",100
"447","Univar","CF_INDUSTRIES",3000
"448","Univar","YARA",106
"449","Univar","CF_INDUSTRIES",1400
"450","Univar","YARA",644
"451","GCP APPLIED TECHNOLOGIES FRANCE","YARA",21
"452","GCP APPLIED TECHNOLOGIES FRANCE","ACHEMA",300
"453","Caldic France","BOREALIS",300
"454","Cargill","YARA",3266
"455","CELIA - LAITERIE DE CRAON","YARA",886
"456","EGNO Chimie","YARA",14
"457","Gelatines Weishardt","YARA",563
"458","Gelatines Weishardt","BOREALIS",260
"459","CHEMETALL SAS","YARA",69
"460","CHEMETALL SAS","ACHEMA",224
"461","CHEMETALL SAS","BRENNTAG",376
"462","CHEMVIRON FRANCE SAS","YARA",160
"463","INOVYN","YARA",25
"464","INOVYN","ACHEMA",69
"465","INOVYN","BRENNTAG",860
"466","KMG Ultra Pure Chemicals SAS","YARA",112
"467","KMG Ultra Pure Chemicals SAS","ACRON",69
"468","KMG Ultra Pure Chemicals SAS","ANVILL",1313
"469","KMG Ultra Pure Chemicals SAS","EUROCHEM",3187
"470","KMG Ultra Pure Chemicals SAS","OCI",350
"471","KMG Ultra Pure Chemicals SAS","BRENNTAG",650
"472","KNAUF INSULATION LANNEMEZAN","ACHEMA",25
"473","KNAUF INSULATION LANNEMEZAN","ACRON",198
"474","Ikea France industry","YARA",1458
"475","Ikea France industry","BOREALIS",42
"476","Chamtor","BOREALIS",6600
"477","Chamtor","BRENNTAG",3000
"478","SOCIETE INDUSTRIELLE LESAFFRE","YARA",13426
"479","SOCIETE INDUSTRIELLE LESAFFRE","BOREALIS",10500
"480","SOCIETE INDUSTRIELLE LESAFFRE","BRENNTAG",5074
"481","BUTACHIMIE SNC","YARA",61400
"482","BUTACHIMIE SNC","BASF",60000
"483","BUTACHIMIE SNC","INEOS",24600
"484","BUTACHIMIE SNC","OCI",24000
"485","EVEN LAIT INDUSTRIE","YARA",609
"486","RHODIA","ACRON",100
"487","RHODIA","ANVILL",8720
"488","NOVACARB","BOREALIS",1000
"489","Greenfield","BOREALIS",200
"490","ADISSEO FRANCE S.A.S.","YARA",20670
"491","Danisco","BOREALIS",207
"492","Hydrachim","YARA",358
"493","ARKEMA FRANCE","YARA",21040
"494","HYPRED","YARA",1028
"495","HYPRED","BOREALIS",172
"496","HYPRED","YARA",125
"497","HYPRED","BOREALIS",125
"498","GAUTIER FRANCE","YARA",68
"499","GAUTIER FRANCE","BOREALIS",200
"500","SOCIETE INDUSTRIELLE DE LEVURE FALA","YARA",3114
"501","SOCIETE INDUSTRIELLE DE LEVURE FALA","BOREALIS",11886
"502","IKEA INDUSTRY FRANCE","YARA",738
"503","MERCK PERFORMANCE MATERIALS","YARA",128
"504","MERCK PERFORMANCE MATERIALS","BOREALIS",172
"505","ORIL INDUSTRIE","YARA",138
"506","ORIL INDUSTRIE","BOREALIS",360
"507","Merck","BOREALIS",100
"508","KRONOSPAN SAS","YARA",95
"509","KRONOSPAN SAS","YARA",486
"510","L.N.U.F. LAVAL","YARA",424
"511","La Gloriette","YARA",95
"512","La Gloriette","YARA",870
"513","Linex Panneaux","YARA",296
"514","L.N.U.F. MONTAYRAL","YARA",125
"515","ROCKWOOL FRANCE SAS","ACHEMA",25
"516","ROCKWOOL FRANCE SAS","ACRON",887
"517","PANNEAUX DE CORREZE","YARA",71
"518","PANNEAUX DE CORREZE","YARA",414
"519","LACTALIS NESTLE ULTRA-FRAIS MARQUES","YARA",283
"520","SAS LAITERIE DU VAL DANCENIS","YARA",687
"521","PRODUITS CHIMIQUES MAZAL","YARA",40
"522","PRODUITS CHIMIQUES MAZAL","YARA",198
"523","PRODUITS CHIMIQUES MAZAL","BOREALIS",200
"524","PRODUITS CHIMIQUES MAZAL","YARA",20
"525","PRODUITS CHIMIQUES MAZAL","YARA",98
"526","PROTELOR","BOREALIS",120
"527","Quadripack","YARA",60
"528","Rhodia Foods","YARA",168
"529","platret","BOREALIS",200
"530","Platret","BOREALIS",300
"531","SMURFIT KAPPA","BOREALIS",300
"532","ROQUETTE FRERES","YARA",25
"533","ROQUETTE FRERES","BOREALIS",175
"534","ROQUETTE FRERES","YARA",100
"535","ROQUETTE FRERES","ACHEMA",526
"536","ROQUETTE FRERES","BRENNTAG",874
"537","EURENCO","YARA",10700
"538","EURENCO","GRUPA_AZOTY",1000
"539","SAINT-GOBAIN EUROCOUSTIC","YARA",120
"540","SAINT-GOBAIN EUROCOUSTIC","YARA",651
"541","SAINT-GOBAIN EUROCOUSTIC","BOREALIS",249
"542","Rhodia Op‚rations","YARA",69
"543","Rhodia Op‚rations","ACHEMA",6137
"544","SAFT","YARA",900
"545","CECA","YARA",160
"546","SOCIETE BEURRIERE DE RETIERS","YARA",124
"547","SANOFI CHIMIE","YARA",62
"548","SANOFI CHIMIE","YARA",25
"549","SANOFI Chimie","YARA",1264
"550","SANOFI Chimie","BOREALIS",860
"551","SANOFI WINTHROP INDUSTRIE","YARA",178
"552","SANOFI WINTHROP INDUSTRIE","BOREALIS",322
"553","Dow","BOREALIS",500
"554","Dow","CF_INDUSTRIES",500
"555","Dow","CF_INDUSTRIES",150
"556","Dow","SKW",25000
"557","SOCIETE FROMAGERE DE BOUVRON","YARA",420
"558","SOCIETE FROMAGERE DE CHARCHIGNE","YARA",403
"559","SOCIETE FROMAGERE DE CHARCHIGNE","BOREALIS",197
"560","SETHNESS ROQUETTE","YARA",25
"561","SETHNESS ROQUETTE","BOREALIS",675
"562","SOCIETE FROMAGERE DE DOMFRONT","YARA",595
"563","SNF FLOERGER","YARA",1200
"564","SNF FLOERGER","BOREALIS",1300
"565","SNF FLOERGER","YARA",600
"566","SNF FLOERGER","BOREALIS",600
"567","GAUTIER France","YARA",213
"568","SOCIETE FROMAGERE DE RIBLAIRE","YARA",169
"569","APERAM ALLOY","YARA",68
"570","APERAM ALLOY","BRENNTAG",300
"571","Aperam Stainless Precision","YARA",100
"572","LINEX PANNEAUX","YARA",1483
"573","SOLVAY OPERATIONS FRANCE","YARA",1139
"574","SOLVAY OPERATIONS FRANCE","BOREALIS",2361
"575","SOCIETE FROMAGERE DU MASSEGROS","YARA",24
"576","Chimie Plus","BOREALIS",250
"577","ECOLAB EUROPE GmbH","YARA",2090
"578","ECOLAB EUROPE GmbH","BOREALIS",160
"579","Soci‚t‚ Industrielle de Saint Flore","YARA",150
"580","Soci‚t‚ Industrielle de Saint Flore","YARA",25
"581","Stockmeier Chemie Dillenburg","YARA",48
"582","Stockmeier Chemie Dillenburg","SKW",300
"583","Stockmeier Chemie Dillenburg","SKW",300
"584","Stockmeier Chemie Dillenburg","SKW",600
"585","Stockmeier Chemie Dillenburg","BASF",300
"586","SOCIETE LAITIERE DE LHERMITAGE","YARA",494
"587","TEREOS STARCH & SWEETENERS LBN","YARA",27
"588","TEREOS STARCH & SWEETENERS LBN","ACHEMA",1854
"589","INEOS CHEMICALS sa","YARA",6820
"590","Soci‚t‚ Laiti_re de Mayenne","YARA",800
"591","TEREOS FRANCE","YARA",25
"592","TEREOS FRANCE","ACHEMA",50
"593","TEREOS FRANCE","BRENNTAG",1200
"594","TEREOS FRANCE","YARA",53
"595","TEREOS FRANCE","BRENNTAG",400
"596","SOCIETE LAITIERE DE MONTAUBAN","YARA",140
"597","TEREOS STARCH & SWEETENERS EUROPE","ACRON",25
"598","TEREOS STARCH & SWEETENERS EUROPE","ANVILL",4083
"599","TEREOS STARCH & SWEETENERS EUROPE","EUROCHEM",8917
"600","SOCIETE LAITIERE DE PONTIVY","YARA",300
"601","SYNTHRON","BOREALIS",200
"602","TFL","BOREALIS",150
"603","TFL","BOREALIS",1200
"604","SOCIETE LAITIERE DE VITRE","YARA",550
"605","TEMBEC TARTAS","YARA",25
"606","WEYLCHEM","YARA",105
"607","WEYLCHEM","BOREALIS",195
"608","WEYLCHEM","YARA",36345
"609","WEYLCHEM","YARA",1111
"610","UCLAB INDUSTRIE","YARA",423
"611","UNIVAR","YARA",957
"612","UNIVAR","BOREALIS",843
